,Class
2015,Abusive
17640,Non Abusive
7120,Non Abusive
2934,Abusive
22401,Non Abusive
5003,Non Abusive
17430,Non Abusive
9287,Non Abusive
14528,Non Abusive
24140,Non Abusive
16458,Non Abusive
16589,Non Abusive
3667,Non Abusive
20408,Non Abusive
7946,Non Abusive
17537,Non Abusive
24104,Non Abusive
1744,Abusive
4726,Non Abusive
8070,Non Abusive
9800,Non Abusive
14174,Non Abusive
19465,Non Abusive
1856,Abusive
12388,Non Abusive
805,Abusive
13213,Non Abusive
19432,Non Abusive
25473,Non Abusive
7576,Non Abusive
7751,Non Abusive
16537,Non Abusive
8479,Non Abusive
6491,Non Abusive
19915,Non Abusive
8542,Non Abusive
10896,Non Abusive
19114,Non Abusive
17667,Non Abusive
21532,Non Abusive
2788,Abusive
20773,Non Abusive
21437,Non Abusive
19460,Non Abusive
18088,Non Abusive
14978,Non Abusive
20884,Non Abusive
22504,Non Abusive
2034,Abusive
2250,Abusive
19503,Non Abusive
14637,Non Abusive
19747,Non Abusive
20093,Non Abusive
6639,Non Abusive
8353,Non Abusive
3032,Abusive
7712,Non Abusive
18719,Non Abusive
18647,Non Abusive
25277,Non Abusive
24949,Non Abusive
25425,Non Abusive
6,Abusive
7950,Non Abusive
9241,Non Abusive
11693,Non Abusive
7159,Non Abusive
25974,Non Abusive
4772,Non Abusive
11549,Non Abusive
17927,Non Abusive
6713,Non Abusive
11503,Non Abusive
3157,Abusive
16170,Non Abusive
17328,Non Abusive
14965,Non Abusive
13072,Non Abusive
18465,Non Abusive
26002,Non Abusive
12444,Non Abusive
19985,Non Abusive
18162,Non Abusive
6649,Non Abusive
22807,Non Abusive
8981,Non Abusive
3310,Abusive
9579,Non Abusive
15282,Non Abusive
6390,Non Abusive
19546,Non Abusive
15502,Non Abusive
22537,Non Abusive
9179,Non Abusive
5043,Non Abusive
1402,Abusive
21329,Non Abusive
18867,Non Abusive
11560,Non Abusive
2024,Abusive
12266,Non Abusive
9620,Non Abusive
21385,Non Abusive
15064,Non Abusive
19732,Non Abusive
8791,Non Abusive
2630,Abusive
25699,Non Abusive
12476,Non Abusive
9023,Non Abusive
847,Abusive
19289,Non Abusive
5350,Non Abusive
21546,Non Abusive
4097,Non Abusive
12828,Non Abusive
20387,Non Abusive
15380,Non Abusive
11268,Non Abusive
20475,Non Abusive
11845,Non Abusive
13946,Non Abusive
22168,Non Abusive
16195,Non Abusive
22895,Non Abusive
13740,Non Abusive
8074,Non Abusive
2875,Abusive
12116,Non Abusive
17926,Non Abusive
18295,Non Abusive
23584,Non Abusive
15166,Non Abusive
12420,Non Abusive
20319,Non Abusive
11328,Non Abusive
18372,Non Abusive
23043,Non Abusive
4249,Non Abusive
1701,Abusive
7563,Non Abusive
14078,Non Abusive
12765,Non Abusive
4654,Non Abusive
14242,Non Abusive
20833,Non Abusive
11518,Non Abusive
11279,Non Abusive
5496,Non Abusive
581,Abusive
2916,Abusive
12515,Non Abusive
13222,Non Abusive
26142,Non Abusive
9596,Non Abusive
2595,Abusive
15554,Non Abusive
17687,Non Abusive
21621,Non Abusive
15365,Non Abusive
10068,Non Abusive
10293,Non Abusive
23748,Non Abusive
11529,Non Abusive
9904,Non Abusive
1654,Abusive
12713,Non Abusive
17665,Non Abusive
14551,Non Abusive
17393,Non Abusive
16962,Non Abusive
23695,Non Abusive
14009,Non Abusive
22747,Non Abusive
3002,Abusive
10603,Non Abusive
14537,Non Abusive
10776,Non Abusive
2643,Abusive
10366,Non Abusive
7768,Non Abusive
16338,Non Abusive
9430,Non Abusive
14887,Non Abusive
8737,Non Abusive
23913,Non Abusive
8392,Non Abusive
1202,Abusive
1750,Abusive
10523,Non Abusive
9462,Non Abusive
2677,Abusive
10826,Non Abusive
7855,Non Abusive
19528,Non Abusive
2744,Abusive
8309,Non Abusive
23523,Non Abusive
19792,Non Abusive
23261,Non Abusive
8171,Non Abusive
3562,Non Abusive
532,Abusive
6808,Non Abusive
8914,Non Abusive
16856,Non Abusive
25217,Non Abusive
20700,Non Abusive
19180,Non Abusive
12658,Non Abusive
21382,Non Abusive
9118,Non Abusive
3620,Non Abusive
20291,Non Abusive
21569,Non Abusive
19140,Non Abusive
12156,Non Abusive
10103,Non Abusive
20622,Non Abusive
5807,Non Abusive
14189,Non Abusive
16379,Non Abusive
18920,Non Abusive
12620,Non Abusive
26219,Non Abusive
1044,Abusive
4915,Non Abusive
21834,Non Abusive
22994,Non Abusive
14827,Non Abusive
11562,Non Abusive
13296,Non Abusive
10136,Non Abusive
3831,Non Abusive
19380,Non Abusive
3446,Non Abusive
20796,Non Abusive
14360,Non Abusive
20411,Non Abusive
6132,Non Abusive
24933,Non Abusive
5422,Non Abusive
11854,Non Abusive
17140,Non Abusive
8356,Non Abusive
20750,Non Abusive
23126,Non Abusive
8963,Non Abusive
20927,Non Abusive
13931,Non Abusive
13210,Non Abusive
10231,Non Abusive
10066,Non Abusive
11329,Non Abusive
16485,Non Abusive
4846,Non Abusive
8429,Non Abusive
5825,Non Abusive
8160,Non Abusive
24038,Non Abusive
11138,Non Abusive
16095,Non Abusive
2426,Abusive
24332,Non Abusive
11515,Non Abusive
25169,Non Abusive
21689,Non Abusive
6862,Non Abusive
11981,Non Abusive
296,Abusive
24357,Non Abusive
2292,Abusive
18203,Non Abusive
7065,Non Abusive
16220,Non Abusive
6478,Non Abusive
12825,Non Abusive
16076,Non Abusive
14372,Non Abusive
3016,Abusive
12176,Non Abusive
3163,Abusive
10839,Non Abusive
25936,Non Abusive
16745,Non Abusive
1177,Abusive
8613,Non Abusive
20569,Non Abusive
22305,Non Abusive
1297,Abusive
18190,Non Abusive
14322,Non Abusive
18405,Non Abusive
729,Abusive
11191,Non Abusive
11685,Non Abusive
785,Abusive
22459,Non Abusive
332,Abusive
10631,Non Abusive
16256,Non Abusive
11729,Non Abusive
24559,Non Abusive
12184,Non Abusive
5260,Non Abusive
22591,Non Abusive
20680,Non Abusive
8847,Non Abusive
21334,Non Abusive
20407,Non Abusive
14416,Non Abusive
9164,Non Abusive
19315,Non Abusive
1796,Abusive
5656,Non Abusive
16987,Non Abusive
24171,Non Abusive
1478,Abusive
2171,Abusive
18899,Non Abusive
24767,Non Abusive
25029,Non Abusive
10460,Non Abusive
9907,Non Abusive
25100,Non Abusive
6684,Non Abusive
17259,Non Abusive
25560,Non Abusive
10420,Non Abusive
4556,Non Abusive
25416,Non Abusive
9128,Non Abusive
14510,Non Abusive
1558,Abusive
25216,Non Abusive
21020,Non Abusive
5424,Non Abusive
17775,Non Abusive
11552,Non Abusive
25178,Non Abusive
138,Abusive
23859,Non Abusive
253,Abusive
9772,Non Abusive
8234,Non Abusive
21821,Non Abusive
155,Abusive
18082,Non Abusive
14052,Non Abusive
19535,Non Abusive
16052,Non Abusive
13396,Non Abusive
7106,Non Abusive
19560,Non Abusive
4809,Non Abusive
13831,Non Abusive
24273,Non Abusive
17516,Non Abusive
16577,Non Abusive
1236,Abusive
8097,Non Abusive
23676,Non Abusive
4880,Non Abusive
21407,Non Abusive
19028,Non Abusive
5060,Non Abusive
20259,Non Abusive
2408,Abusive
24526,Non Abusive
2519,Abusive
26185,Non Abusive
22260,Non Abusive
25882,Non Abusive
20314,Non Abusive
7043,Non Abusive
24073,Non Abusive
4220,Non Abusive
11400,Non Abusive
12402,Non Abusive
21311,Non Abusive
1774,Abusive
19837,Non Abusive
8863,Non Abusive
23347,Non Abusive
3180,Abusive
1038,Abusive
25959,Non Abusive
3353,Abusive
2830,Abusive
24760,Non Abusive
12897,Non Abusive
18570,Non Abusive
16774,Non Abusive
14486,Non Abusive
18400,Non Abusive
3299,Abusive
7852,Non Abusive
26087,Non Abusive
16093,Non Abusive
204,Abusive
22995,Non Abusive
23558,Non Abusive
11003,Non Abusive
2730,Abusive
10950,Non Abusive
19087,Non Abusive
5252,Non Abusive
24551,Non Abusive
12173,Non Abusive
9968,Non Abusive
5191,Non Abusive
3226,Abusive
16324,Non Abusive
13281,Non Abusive
5968,Non Abusive
11522,Non Abusive
9134,Non Abusive
14961,Non Abusive
7439,Non Abusive
3458,Non Abusive
20344,Non Abusive
24509,Non Abusive
12281,Non Abusive
19869,Non Abusive
18490,Non Abusive
19638,Non Abusive
16996,Non Abusive
4156,Non Abusive
14669,Non Abusive
1216,Abusive
9206,Non Abusive
7117,Non Abusive
2944,Abusive
5667,Non Abusive
2999,Abusive
25271,Non Abusive
7386,Non Abusive
22228,Non Abusive
25829,Non Abusive
5460,Non Abusive
670,Abusive
11874,Non Abusive
8016,Non Abusive
9260,Non Abusive
9408,Non Abusive
4157,Non Abusive
2819,Abusive
5071,Non Abusive
17059,Non Abusive
1282,Abusive
17186,Non Abusive
12853,Non Abusive
2729,Abusive
5,Abusive
24449,Non Abusive
9945,Non Abusive
17909,Non Abusive
22694,Non Abusive
5843,Non Abusive
5915,Non Abusive
15211,Non Abusive
19248,Non Abusive
3408,Abusive
3747,Non Abusive
5180,Non Abusive
15397,Non Abusive
12644,Non Abusive
25431,Non Abusive
7711,Non Abusive
17531,Non Abusive
19403,Non Abusive
3074,Abusive
9310,Non Abusive
25841,Non Abusive
14430,Non Abusive
4358,Non Abusive
3857,Non Abusive
12838,Non Abusive
6757,Non Abusive
21699,Non Abusive
19628,Non Abusive
8965,Non Abusive
18085,Non Abusive
2524,Abusive
24412,Non Abusive
20173,Non Abusive
13147,Non Abusive
19090,Non Abusive
12251,Non Abusive
23574,Non Abusive
417,Abusive
7631,Non Abusive
15156,Non Abusive
14811,Non Abusive
11051,Non Abusive
19295,Non Abusive
25657,Non Abusive
633,Abusive
16542,Non Abusive
1866,Abusive
13598,Non Abusive
2066,Abusive
22669,Non Abusive
6030,Non Abusive
1101,Abusive
6560,Non Abusive
15784,Non Abusive
23906,Non Abusive
14502,Non Abusive
12818,Non Abusive
6479,Non Abusive
10207,Non Abusive
2554,Abusive
16616,Non Abusive
24991,Non Abusive
4290,Non Abusive
16440,Non Abusive
21466,Non Abusive
10208,Non Abusive
2417,Abusive
9071,Non Abusive
9486,Non Abusive
11891,Non Abusive
4482,Non Abusive
19025,Non Abusive
22003,Non Abusive
22378,Non Abusive
6597,Non Abusive
25068,Non Abusive
6464,Non Abusive
17638,Non Abusive
10326,Non Abusive
21009,Non Abusive
762,Abusive
5413,Non Abusive
5480,Non Abusive
18817,Non Abusive
6468,Non Abusive
12233,Non Abusive
23610,Non Abusive
20207,Non Abusive
963,Abusive
22716,Non Abusive
21951,Non Abusive
17266,Non Abusive
15664,Non Abusive
15733,Non Abusive
9165,Non Abusive
6476,Non Abusive
8090,Non Abusive
11495,Non Abusive
25940,Non Abusive
20410,Non Abusive
17643,Non Abusive
12249,Non Abusive
2213,Abusive
13474,Non Abusive
18616,Non Abusive
5793,Non Abusive
3159,Abusive
13337,Non Abusive
12531,Non Abusive
23578,Non Abusive
284,Abusive
9437,Non Abusive
9311,Non Abusive
12268,Non Abusive
5983,Non Abusive
8635,Non Abusive
8992,Non Abusive
7585,Non Abusive
21370,Non Abusive
9447,Non Abusive
8288,Non Abusive
4261,Non Abusive
4540,Non Abusive
16970,Non Abusive
19311,Non Abusive
9016,Non Abusive
5586,Non Abusive
5883,Non Abusive
12969,Non Abusive
25814,Non Abusive
13395,Non Abusive
24598,Non Abusive
2406,Abusive
6471,Non Abusive
20679,Non Abusive
4503,Non Abusive
24236,Non Abusive
10304,Non Abusive
20721,Non Abusive
13720,Non Abusive
12095,Non Abusive
597,Abusive
671,Abusive
21947,Non Abusive
20605,Non Abusive
4350,Non Abusive
1312,Abusive
9948,Non Abusive
1102,Abusive
9792,Non Abusive
11371,Non Abusive
23591,Non Abusive
17587,Non Abusive
7960,Non Abusive
15091,Non Abusive
18258,Non Abusive
11418,Non Abusive
18856,Non Abusive
24456,Non Abusive
17692,Non Abusive
26126,Non Abusive
11366,Non Abusive
14658,Non Abusive
10895,Non Abusive
6821,Non Abusive
23807,Non Abusive
7285,Non Abusive
10374,Non Abusive
20203,Non Abusive
20541,Non Abusive
25323,Non Abusive
534,Abusive
6530,Non Abusive
21929,Non Abusive
8772,Non Abusive
20537,Non Abusive
4784,Non Abusive
3369,Abusive
10025,Non Abusive
11980,Non Abusive
21499,Non Abusive
5018,Non Abusive
6610,Non Abusive
20860,Non Abusive
17182,Non Abusive
4353,Non Abusive
12247,Non Abusive
23705,Non Abusive
398,Abusive
18525,Non Abusive
19898,Non Abusive
1682,Abusive
8136,Non Abusive
23225,Non Abusive
17189,Non Abusive
21171,Non Abusive
19975,Non Abusive
1908,Abusive
87,Abusive
985,Abusive
24474,Non Abusive
5769,Non Abusive
2142,Abusive
17766,Non Abusive
16477,Non Abusive
17280,Non Abusive
6976,Non Abusive
8227,Non Abusive
21820,Non Abusive
4344,Non Abusive
22170,Non Abusive
21831,Non Abusive
2433,Abusive
10528,Non Abusive
2364,Abusive
17979,Non Abusive
3430,Non Abusive
12043,Non Abusive
24272,Non Abusive
14087,Non Abusive
10243,Non Abusive
3839,Non Abusive
8432,Non Abusive
21779,Non Abusive
21889,Non Abusive
24839,Non Abusive
3755,Non Abusive
15280,Non Abusive
26175,Non Abusive
25597,Non Abusive
12923,Non Abusive
4087,Non Abusive
23194,Non Abusive
5946,Non Abusive
25854,Non Abusive
13155,Non Abusive
14842,Non Abusive
17893,Non Abusive
9192,Non Abusive
15896,Non Abusive
1225,Abusive
9532,Non Abusive
25904,Non Abusive
9875,Non Abusive
5964,Non Abusive
3648,Non Abusive
15802,Non Abusive
16330,Non Abusive
9011,Non Abusive
11825,Non Abusive
24201,Non Abusive
22081,Non Abusive
7391,Non Abusive
12696,Non Abusive
19383,Non Abusive
5606,Non Abusive
11000,Non Abusive
1530,Abusive
18790,Non Abusive
6483,Non Abusive
4848,Non Abusive
19999,Non Abusive
15309,Non Abusive
20303,Non Abusive
3172,Abusive
22568,Non Abusive
25519,Non Abusive
24318,Non Abusive
3910,Non Abusive
15986,Non Abusive
16092,Non Abusive
569,Abusive
15410,Non Abusive
12267,Non Abusive
18838,Non Abusive
9306,Non Abusive
15945,Non Abusive
20302,Non Abusive
1936,Abusive
83,Abusive
21457,Non Abusive
22664,Non Abusive
18324,Non Abusive
7312,Non Abusive
12136,Non Abusive
12169,Non Abusive
7188,Non Abusive
16179,Non Abusive
692,Abusive
22914,Non Abusive
10157,Non Abusive
8174,Non Abusive
13973,Non Abusive
8879,Non Abusive
5029,Non Abusive
13367,Non Abusive
25042,Non Abusive
17307,Non Abusive
9714,Non Abusive
12029,Non Abusive
19834,Non Abusive
20650,Non Abusive
11127,Non Abusive
7414,Non Abusive
1702,Abusive
2203,Abusive
9642,Non Abusive
13802,Non Abusive
11642,Non Abusive
4834,Non Abusive
25264,Non Abusive
5201,Non Abusive
3607,Non Abusive
373,Abusive
5141,Non Abusive
3306,Abusive
6888,Non Abusive
17378,Non Abusive
11028,Non Abusive
19874,Non Abusive
17071,Non Abusive
15291,Non Abusive
6284,Non Abusive
8758,Non Abusive
3129,Abusive
10584,Non Abusive
22819,Non Abusive
2977,Abusive
8273,Non Abusive
22442,Non Abusive
16797,Non Abusive
13960,Non Abusive
13084,Non Abusive
4908,Non Abusive
4470,Non Abusive
3622,Non Abusive
14258,Non Abusive
2275,Abusive
5772,Non Abusive
10870,Non Abusive
16558,Non Abusive
2530,Abusive
13087,Non Abusive
7453,Non Abusive
12084,Non Abusive
22870,Non Abusive
13253,Non Abusive
16618,Non Abusive
6637,Non Abusive
11167,Non Abusive
18914,Non Abusive
16603,Non Abusive
16928,Non Abusive
4430,Non Abusive
5525,Non Abusive
16008,Non Abusive
6012,Non Abusive
18030,Non Abusive
21686,Non Abusive
911,Abusive
9443,Non Abusive
9901,Non Abusive
17850,Non Abusive
11103,Non Abusive
1220,Abusive
25456,Non Abusive
144,Abusive
7189,Non Abusive
7643,Non Abusive
3931,Non Abusive
26195,Non Abusive
6546,Non Abusive
25569,Non Abusive
396,Abusive
22252,Non Abusive
14407,Non Abusive
16034,Non Abusive
17565,Non Abusive
7805,Non Abusive
3124,Abusive
18211,Non Abusive
3067,Abusive
25794,Non Abusive
4943,Non Abusive
20012,Non Abusive
5057,Non Abusive
840,Abusive
14442,Non Abusive
10126,Non Abusive
8731,Non Abusive
20858,Non Abusive
10795,Non Abusive
22520,Non Abusive
2860,Abusive
6449,Non Abusive
21029,Non Abusive
14596,Non Abusive
1170,Abusive
9710,Non Abusive
15073,Non Abusive
7127,Non Abusive
16502,Non Abusive
5216,Non Abusive
10329,Non Abusive
10922,Non Abusive
21718,Non Abusive
25482,Non Abusive
9743,Non Abusive
8491,Non Abusive
8920,Non Abusive
19190,Non Abusive
8537,Non Abusive
13428,Non Abusive
24032,Non Abusive
13903,Non Abusive
21868,Non Abusive
7051,Non Abusive
8405,Non Abusive
17505,Non Abusive
22561,Non Abusive
1072,Abusive
26124,Non Abusive
15699,Non Abusive
24651,Non Abusive
2242,Abusive
17716,Non Abusive
22421,Non Abusive
25554,Non Abusive
1414,Abusive
22452,Non Abusive
8169,Non Abusive
23938,Non Abusive
1109,Abusive
21480,Non Abusive
9419,Non Abusive
5636,Non Abusive
2899,Abusive
24409,Non Abusive
2215,Abusive
2849,Abusive
25194,Non Abusive
6399,Non Abusive
17012,Non Abusive
11538,Non Abusive
8466,Non Abusive
22706,Non Abusive
17008,Non Abusive
10481,Non Abusive
125,Abusive
20485,Non Abusive
22476,Non Abusive
24872,Non Abusive
18462,Non Abusive
3287,Abusive
16773,Non Abusive
17274,Non Abusive
90,Abusive
23319,Non Abusive
11356,Non Abusive
16434,Non Abusive
21346,Non Abusive
9751,Non Abusive
18376,Non Abusive
12988,Non Abusive
23804,Non Abusive
23128,Non Abusive
23554,Non Abusive
22403,Non Abusive
19630,Non Abusive
6434,Non Abusive
22368,Non Abusive
887,Abusive
4424,Non Abusive
4720,Non Abusive
4159,Non Abusive
18459,Non Abusive
19041,Non Abusive
17876,Non Abusive
23631,Non Abusive
22614,Non Abusive
13642,Non Abusive
7294,Non Abusive
6548,Non Abusive
4822,Non Abusive
19716,Non Abusive
10369,Non Abusive
2689,Abusive
1346,Abusive
10356,Non Abusive
10569,Non Abusive
7893,Non Abusive
14521,Non Abusive
8017,Non Abusive
9701,Non Abusive
576,Abusive
22127,Non Abusive
14576,Non Abusive
16432,Non Abusive
10865,Non Abusive
14204,Non Abusive
11796,Non Abusive
2208,Abusive
8631,Non Abusive
17154,Non Abusive
12567,Non Abusive
24817,Non Abusive
12006,Non Abusive
16107,Non Abusive
25377,Non Abusive
14070,Non Abusive
24133,Non Abusive
23453,Non Abusive
18980,Non Abusive
14385,Non Abusive
24968,Non Abusive
5320,Non Abusive
16844,Non Abusive
1278,Abusive
18563,Non Abusive
12158,Non Abusive
23651,Non Abusive
11677,Non Abusive
12115,Non Abusive
23742,Non Abusive
15329,Non Abusive
9057,Non Abusive
7904,Non Abusive
4697,Non Abusive
16130,Non Abusive
19273,Non Abusive
11604,Non Abusive
17462,Non Abusive
24388,Non Abusive
14756,Non Abusive
14051,Non Abusive
12487,Non Abusive
23406,Non Abusive
347,Abusive
22813,Non Abusive
10818,Non Abusive
7111,Non Abusive
21669,Non Abusive
17877,Non Abusive
9029,Non Abusive
11241,Non Abusive
14619,Non Abusive
24274,Non Abusive
12178,Non Abusive
4380,Non Abusive
19748,Non Abusive
17556,Non Abusive
1423,Abusive
12669,Non Abusive
10197,Non Abusive
9060,Non Abusive
25031,Non Abusive
23873,Non Abusive
5771,Non Abusive
6553,Non Abusive
281,Abusive
9235,Non Abusive
10105,Non Abusive
3190,Abusive
15040,Non Abusive
4004,Non Abusive
5906,Non Abusive
17771,Non Abusive
20472,Non Abusive
7850,Non Abusive
15637,Non Abusive
22605,Non Abusive
17470,Non Abusive
15332,Non Abusive
18604,Non Abusive
19593,Non Abusive
22042,Non Abusive
3088,Abusive
3694,Non Abusive
11945,Non Abusive
16679,Non Abusive
17448,Non Abusive
5761,Non Abusive
7333,Non Abusive
19369,Non Abusive
19175,Non Abusive
3933,Non Abusive
25349,Non Abusive
3777,Non Abusive
23239,Non Abusive
21666,Non Abusive
15704,Non Abusive
19310,Non Abusive
8372,Non Abusive
23362,Non Abusive
955,Abusive
24921,Non Abusive
22721,Non Abusive
18460,Non Abusive
17055,Non Abusive
14142,Non Abusive
893,Abusive
23027,Non Abusive
10912,Non Abusive
16675,Non Abusive
10938,Non Abusive
16796,Non Abusive
24901,Non Abusive
25388,Non Abusive
20779,Non Abusive
5004,Non Abusive
19653,Non Abusive
8546,Non Abusive
16568,Non Abusive
21318,Non Abusive
17728,Non Abusive
14117,Non Abusive
23886,Non Abusive
12726,Non Abusive
2694,Abusive
4258,Non Abusive
24778,Non Abusive
983,Abusive
25398,Non Abusive
10676,Non Abusive
17530,Non Abusive
10431,Non Abusive
18944,Non Abusive
7620,Non Abusive
9145,Non Abusive
3177,Abusive
12890,Non Abusive
19621,Non Abusive
21798,Non Abusive
23327,Non Abusive
14943,Non Abusive
25170,Non Abusive
2588,Abusive
7999,Non Abusive
14573,Non Abusive
4995,Non Abusive
17035,Non Abusive
960,Abusive
15833,Non Abusive
4246,Non Abusive
936,Abusive
7310,Non Abusive
11751,Non Abusive
9662,Non Abusive
22963,Non Abusive
9229,Non Abusive
2735,Abusive
2189,Abusive
2484,Abusive
9199,Non Abusive
12615,Non Abusive
9963,Non Abusive
22364,Non Abusive
6303,Non Abusive
11865,Non Abusive
22225,Non Abusive
26136,Non Abusive
1760,Abusive
9934,Non Abusive
4787,Non Abusive
21456,Non Abusive
14915,Non Abusive
19728,Non Abusive
25469,Non Abusive
10203,Non Abusive
24430,Non Abusive
14997,Non Abusive
14,Abusive
170,Abusive
21642,Non Abusive
20158,Non Abusive
21403,Non Abusive
1772,Abusive
24389,Non Abusive
1786,Abusive
2324,Abusive
6095,Non Abusive
21328,Non Abusive
7062,Non Abusive
8918,Non Abusive
12709,Non Abusive
6977,Non Abusive
6195,Non Abusive
12092,Non Abusive
11486,Non Abusive
16917,Non Abusive
4628,Non Abusive
25705,Non Abusive
6533,Non Abusive
17969,Non Abusive
12392,Non Abusive
4756,Non Abusive
16203,Non Abusive
21815,Non Abusive
5354,Non Abusive
270,Abusive
24420,Non Abusive
3453,Non Abusive
14710,Non Abusive
18778,Non Abusive
21419,Non Abusive
25587,Non Abusive
25075,Non Abusive
18784,Non Abusive
23535,Non Abusive
24141,Non Abusive
12257,Non Abusive
25147,Non Abusive
13046,Non Abusive
10620,Non Abusive
12832,Non Abusive
21884,Non Abusive
19976,Non Abusive
8195,Non Abusive
23691,Non Abusive
15520,Non Abusive
15224,Non Abusive
18053,Non Abusive
10471,Non Abusive
21502,Non Abusive
22015,Non Abusive
4578,Non Abusive
11067,Non Abusive
378,Abusive
14478,Non Abusive
15903,Non Abusive
9725,Non Abusive
10596,Non Abusive
20227,Non Abusive
360,Abusive
25395,Non Abusive
678,Abusive
2908,Abusive
9890,Non Abusive
4104,Non Abusive
13128,Non Abusive
26049,Non Abusive
3997,Non Abusive
4634,Non Abusive
8139,Non Abusive
13055,Non Abusive
7645,Non Abusive
20851,Non Abusive
7314,Non Abusive
12145,Non Abusive
12192,Non Abusive
25082,Non Abusive
16551,Non Abusive
4038,Non Abusive
16493,Non Abusive
13739,Non Abusive
15916,Non Abusive
17417,Non Abusive
143,Abusive
15851,Non Abusive
3476,Non Abusive
15003,Non Abusive
18716,Non Abusive
2082,Abusive
8551,Non Abusive
22021,Non Abusive
11885,Non Abusive
14157,Non Abusive
3678,Non Abusive
7532,Non Abusive
18234,Non Abusive
23509,Non Abusive
14942,Non Abusive
23992,Non Abusive
15284,Non Abusive
14493,Non Abusive
1662,Abusive
5852,Non Abusive
20795,Non Abusive
16636,Non Abusive
418,Abusive
9856,Non Abusive
23441,Non Abusive
10933,Non Abusive
22610,Non Abusive
13660,Non Abusive
13781,Non Abusive
24923,Non Abusive
23851,Non Abusive
1008,Abusive
16764,Non Abusive
12234,Non Abusive
19810,Non Abusive
6953,Non Abusive
25973,Non Abusive
15598,Non Abusive
2483,Abusive
4918,Non Abusive
1688,Abusive
4764,Non Abusive
1277,Abusive
3727,Non Abusive
22997,Non Abusive
11889,Non Abusive
13334,Non Abusive
9238,Non Abusive
16951,Non Abusive
17811,Non Abusive
25996,Non Abusive
10182,Non Abusive
5748,Non Abusive
6092,Non Abusive
15977,Non Abusive
25081,Non Abusive
23273,Non Abusive
20532,Non Abusive
24912,Non Abusive
18123,Non Abusive
14970,Non Abusive
1922,Abusive
13454,Non Abusive
23435,Non Abusive
14538,Non Abusive
19992,Non Abusive
24843,Non Abusive
16517,Non Abusive
6279,Non Abusive
23427,Non Abusive
6130,Non Abusive
21440,Non Abusive
20948,Non Abusive
17560,Non Abusive
16313,Non Abusive
4543,Non Abusive
21458,Non Abusive
931,Abusive
25030,Non Abusive
13183,Non Abusive
1390,Abusive
23820,Non Abusive
403,Abusive
9870,Non Abusive
5571,Non Abusive
23960,Non Abusive
15821,Non Abusive
24114,Non Abusive
21685,Non Abusive
22606,Non Abusive
23603,Non Abusive
16340,Non Abusive
20137,Non Abusive
14755,Non Abusive
12661,Non Abusive
19731,Non Abusive
1265,Abusive
23814,Non Abusive
849,Abusive
9086,Non Abusive
11809,Non Abusive
25654,Non Abusive
11789,Non Abusive
23215,Non Abusive
9881,Non Abusive
10957,Non Abusive
9613,Non Abusive
13373,Non Abusive
20169,Non Abusive
25408,Non Abusive
13431,Non Abusive
14177,Non Abusive
20567,Non Abusive
3889,Non Abusive
16037,Non Abusive
8018,Non Abusive
11414,Non Abusive
17277,Non Abusive
17481,Non Abusive
2633,Abusive
25960,Non Abusive
2046,Abusive
3060,Abusive
12375,Non Abusive
10815,Non Abusive
24908,Non Abusive
6968,Non Abusive
21934,Non Abusive
1528,Abusive
11046,Non Abusive
8275,Non Abusive
7080,Non Abusive
19284,Non Abusive
14623,Non Abusive
22528,Non Abusive
674,Abusive
982,Abusive
22234,Non Abusive
8255,Non Abusive
3682,Non Abusive
25427,Non Abusive
18021,Non Abusive
17567,Non Abusive
6725,Non Abusive
9107,Non Abusive
20708,Non Abusive
19763,Non Abusive
16835,Non Abusive
7341,Non Abusive
25862,Non Abusive
13847,Non Abusive
6840,Non Abusive
21976,Non Abusive
12514,Non Abusive
13568,Non Abusive
10209,Non Abusive
9508,Non Abusive
15897,Non Abusive
21681,Non Abusive
724,Abusive
20029,Non Abusive
9451,Non Abusive
9803,Non Abusive
2983,Abusive
23189,Non Abusive
22283,Non Abusive
21184,Non Abusive
26233,Non Abusive
22764,Non Abusive
20367,Non Abusive
5889,Non Abusive
9356,Non Abusive
12288,Non Abusive
18577,Non Abusive
12303,Non Abusive
8490,Non Abusive
2898,Abusive
7654,Non Abusive
13742,Non Abusive
7611,Non Abusive
22340,Non Abusive
23178,Non Abusive
24587,Non Abusive
11674,Non Abusive
21479,Non Abusive
17048,Non Abusive
19187,Non Abusive
14123,Non Abusive
24033,Non Abusive
12972,Non Abusive
5269,Non Abusive
17696,Non Abusive
24782,Non Abusive
15501,Non Abusive
3070,Abusive
14517,Non Abusive
25149,Non Abusive
23869,Non Abusive
8113,Non Abusive
4681,Non Abusive
7707,Non Abusive
11149,Non Abusive
15411,Non Abusive
11848,Non Abusive
7289,Non Abusive
21521,Non Abusive
21253,Non Abusive
24810,Non Abusive
20364,Non Abusive
22136,Non Abusive
21461,Non Abusive
12030,Non Abusive
21933,Non Abusive
18777,Non Abusive
15104,Non Abusive
1376,Abusive
13336,Non Abusive
22114,Non Abusive
6116,Non Abusive
1888,Abusive
7694,Non Abusive
8132,Non Abusive
12881,Non Abusive
8853,Non Abusive
6841,Non Abusive
7202,Non Abusive
17429,Non Abusive
4385,Non Abusive
19977,Non Abusive
16638,Non Abusive
22275,Non Abusive
19904,Non Abusive
